Tenggarong;1.169.827;-0.4094
Tanjungredeb;1.174.979;21.493
Tanjung Selor;1.173.651;28.414
Tarakan;1.175.924;32.976
Nunukan;1.176.570;41.474
Panjang;1.053.205;-54.798
Metro;1.053.043;-51.161
Liwa;1.040.796;-50.330
Kotabumi;1.048.833;-48.236
Tual;1.327.805;-56.234
Masohi;1.289.664;-32.172
Soasiu;1.274.349;0.6457
Ternate;1.273.822;0.7807
Labuhanpoh;1.158.741;-87.499
Praya;1.162.920;-87.023
Selong;1.165.384;-86.525
Dompu;1.184.517;-85.424
Sumbawa Besar;1.174.231;-84.991
Bima;1.187.322;-84.540
Soe;1.242.667;-98.631
Waingapu;1.202.642;-96.553
Waikabubak;1.194.172;-96.295
Kefamenanu;1.244.819;-94.485
Atambua;1.248.968;-91.150
Ende;1.216.425;-88.460
Bajawa;1.209.607;-87.873
Maumere;1.222.213;-86.246
Ruteng;1.204.658;-86.005
Larantuka;1.229.854;-83.452
Kalabahi;1.245.188;-82.191
Rengat;1.025.304;-0.3697
Tembilahan;1.031.632;-0.3030
Bangkinang;1.010.178;0.3459
Tanjung Pinang;1.044.433;0.9255
Bengkalis;1.020.999;14.766
Dumai;1.014.419;16.759
Bagasiapiapi;1.008.096;21.598
Jene Ponto;1.197.139;-56.905
Bulukumba;1.201.738;-55.695
Bonthain;1.199.419;-55.448
Takalar;1.194.107;-54.711
Sungguminasa;1.194.535;-52.107
Sinjai;1.202.293;-51.523
Maros;1.195.702;-50.050
Pangkajene;1.195.380;-48.201
Watampone;1.203.292;-45.368
Barru;1.196.293;-43.834
Watansopeng;1.198.682;-43.152
Sengkang;1.200.154;-41.216
Pare-pare;1.196.318;-40.126
Sidenreng;1.198.144;-38.458
Pinrang;1.196.534;-37.917
Enrekang;1.197.702;-35.700
Majene;1.189.683;-35.405
Polewali;1.193.439;-34.278
Makale;1.198.511;-31.152
Palopo;1.201.995;-29.960
Mamuju;1.189.308;-26.639
Banggai;1.235.017;-15.881
Poso;1.207.531;-13.923
Luwuk;1.227.822;-0.9616
Donggala;1.197.366;-0.6664
Mountong;1.212.414;0.4639
Tolitoli;1.208.168;10.507
Baubau;1.226.025;-54.553
Raha;1.227.221;-48.390
Kolaka;1.216.099;-40.625
Gorontalo;1.230.653;0.5450
Kotamobagu;1.242.926;0.7328
Bitung;1.251.857;14.415
Tahuna;1.254.800;36.032
Painan;1.005.740;-13.492
Solok;1.006.541;-0.7906
Sawahlunto;1.007.785;-0.6820
Pariaman;1.001.209;-0.6288
Padang Panjang;1.003.985;-0.4628
Batusangkar;1.005.940;-0.4569
Bukit Tinggi;1.003.691;-0.3034
Payakumbuh;1.006.305;-0.2234
Lubuksikaping;1.001.701;0.1319
Martapura;1.043.495;-43.266
Baturaja;1.041.730;-41.210
Lahat;1.035.414;-37.975
Prabumulih;1.042.368;-34.359
Kayuagung;1.048.387;-33.898
Lubuklinggau;1.028.662;-32.933
Plaju;1.048.148;-29.993
Toboali;1.064.541;-30.140
Sungai Gerong;1.048.428;-29.894
Tanjungpandan;1.076.332;-27.284
Pangkalpinang;1.061.161;-21.197
Sungai Liat;1.061.261;-18.552
Belinyu;1.057.786;-16.391
Padangsidempuan;992.755;13.733
Sibolga;987.795;17.409
Tarutung;989.675;20.115
Barus;984.011;20.105
Rantauprapat;998.309;20.850
Sidikalang;983.116;27.471
Tanjung Balai;998.083;29.553
Pematangsiantar;990.664;29.618
Kisaran;996.260;29.816
Kabanjahe;984.894;31.000
Tebing Tinggi;991.602;33.298
Binjai;984.858;36.027
Pante Makasar;1.243.692;-92.141
Same;1.256.522;-90.051
Maliana;1.252.213;-89.970
Vikuekue;1.263.766;-88.810
Ermera;1.253.963;-87.590
Manatuto;1.260.172;-85.251
Baukau;1.264.548;-84.736
Wonosari;1.105.999;-79.613
Bantul;1.103.582;-78.936
Wates;1.101.779;-78.476
Sleman;1.103.471;-76.997
